foglio,colonna,ref,marca,modello,versione,motorizzazione,carrozzeria,alimentazione,cambio,trazione,cilindrata,potenza_cv,autonomia_elettrica,prezzo_listino,prezzo_promo,sconto,stato,nota_estrazione,da_verificare,codice_riferimento,co2,consumo_wltp,porte,riga_listino
FORD BLUE,6,puma-titanium-1-0-mhev-125cv,Ford,Puma,TITANIUM,1.0 MHEV 125CV,SUV compatto,ibrido,,,1000,125,,28250,22250,6000,pubblica,"blocco ""VANTAGGIO SETTEMBRE""",,BAAX,135,6.0,5,"BAAX 1.0 EcoBoost Hybrid 5 porte 92 kW 125 CV Ibrido/Benzina Transmissione manuale a 6 rapporti EURO 6.2 122-135 5.4-6 22.396,41 2"
FORD BLUE,7,puma-st-line-1-0-mhev-125cv,Ford,Puma,ST-LINE,1.0 MHEV 125CV,SUV compatto,ibrido,,,1000,125,,29250,23250,6000,pubblica,"blocco ""VANTAGGIO SETTEMBRE""",,BAA0,135,6.0,5,"BAA0 1.0 EcoBoost Hybrid 5 porte 92 kW 125 CV Ibrido/Benzina Transmissione manuale a 6 rapporti EURO 6.2 122-135 5.4-6 23.216,08 2"
FORD BLUE,8,puma-st-line-x-1-0-mhev-125cv,Ford,Puma,ST-LINE X,1.0 MHEV 125CV,SUV compatto,ibrido,,,1000,125,,31350,25350,6000,pubblica,"blocco ""VANTAGGIO SETTEMBRE""",,BAA3,135,6.0,5,"BAA3 1.0 EcoBoost Hybrid 5 porte 92 kW 125 CV Ibrido/Benzina Transmissione manuale a 6 rapporti EURO 6.2 122-135 5.4-6 24.937,39 3"
FORD BLUE,6,focus-st-line-active-5p-man-1-0-125-cv-mhev-mhev,Ford,Focus,ST Line/ACTIVE 5P man,1.0 125 CV mHEV,Berlina,ibrido,manuale,,1000,125,,31750,23750,8000,bozza,FOCUS BENZINA MHEV,,,138,6.1,5,"2 allestimenti allo stesso prezzo, presi i soli dati concordi"
FORD BLUE,8,focus-st-line-x-active-x5p-man-1-0-125-cv-mhev-mhev,Ford,Focus,ST Line X / ACTIVE X5P man,1.0 125 CV mHEV,Berlina,ibrido,manuale,,1000,125,,33250,25250,8000,bozza,FOCUS BENZINA MHEV,,,138,6.1,5,"2 allestimenti allo stesso prezzo, presi i soli dati concordi"
FORD BLUE,6,focus-st-line-5p-man-1-5-ecoblue-tdci-115-cv-tdci,Ford,Focus,ST Line 5P man,1.5 EcoBlue TDCi 115 CV,Berlina,diesel,manuale,,1500,115,,35000,27000,8000,bozza,blocco FOCUS TDCI,"motore interpretato: il foglio ripeteva ""1.0 125 CV mHEV"" del blocco benzina",,,,5,"4 allestimenti allo stesso prezzo, presi i soli dati concordi"
FORD BLUE,8,focus-st-line-x-5p-man-1-5-ecoblue-tdci-115-cv-tdci,Ford,Focus,ST Line X 5P man,1.5 EcoBlue TDCi 115 CV,Berlina,diesel,manuale,,1500,115,,36500,28500,8000,bozza,blocco FOCUS TDCI,"motore interpretato: il foglio ripeteva ""1.0 125 CV mHEV"" del blocco benzina",,,,5,"4 allestimenti allo stesso prezzo, presi i soli dati concordi"
FORD BLUE,6,tourneo-courier-titanium-5p-man-1-0-125-cv-mhev,Ford,Tourneo Courier,Titanium 5P man,1.0 125 CV mHEV,Monovolume,ibrido,manuale,,1000,125,,24400,19950,4450,pubblica,PPM con rottamazione (r.86); con permuta r.85,,,,,,
FORD BLUE,7,tourneo-courier-active-5p-man-1-0-125-cv-mhev,Ford,Tourneo Courier,ACTIVE 5P man,1.0 125 CV mHEV,Monovolume,ibrido,manuale,anteriore,1000,125,,27150,22800,4350,pubblica,PPM con rottamazione (r.86); con permuta r.85,,SAA6,159,7.0,,"SAA6 Benzina 1.0 EcoBoost 125 CV 93 kW Trasmissione manuale a 6 rapporti 2WD EURO 6.2 153-159 6,7-7,0 21.507,25 27.150,00"
FORD BLUE,6,kuga-titanium-1-5-ecoboost-150cv-m6-benzina,Ford,Kuga,Titanium,1.5 ECOBOOST 150CV M6,SUV,benzina,manuale,anteriore,1500,150,,36000,27000,9000,pubblica,KUGA BENZINA,,FABC,163,6.4,,"1.5 EcoBoost 150 (110) Manuale a 6 rapporti Anteriore 2WD 6.4 145-163 FABC 28.679,39 36.000,00"
